Date,,Denton Branch Rail Trail (S of Morse Street) Pedestrians,Denton Branch Rail Trail (S of Morse Street) Cyclists
23/07/2014,0:00,44,109
24/07/2014,0:00,53,179
25/07/2014,0:00,129,121
26/07/2014,0:00,44,141
27/07/2014,0:00,29,109
28/07/2014,0:00,55,150
29/07/2014,0:00,43,145
30/07/2014,0:00,61,132
31/07/2014,0:00,64,115
1/8/2014,0:00,51,142
2/8/2014,0:00,63,209
3/8/2014,0:00,34,143
4/8/2014,0:00,58,131
5/8/2014,0:00,64,121
6/8/2014,0:00,67,144
7/8/2014,0:00,54,138
8/8/2014,0:00,37,109
9/8/2014,0:00,49,128
10/8/2014,0:00,44,135
11/8/2014,0:00,47,144
12/8/2014,0:00,53,124
13/08/2014,0:00,55,173
14/08/2014,0:00,42,147
15/08/2014,0:00,48,106
16/08/2014,0:00,210,124
17/08/2014,0:00,36,74
18/08/2014,0:00,101,153
19/08/2014,0:00,152,209
20/08/2014,0:00,99,136
21/08/2014,0:00,293,139
22/08/2014,0:00,53,108
23/08/2014,0:00,77,110
24/08/2014,0:00,46,142
25/08/2014,0:00,48,122
26/08/2014,0:00,55,108
27/08/2014,0:00,52,146
28/08/2014,0:00,58,144
29/08/2014,0:00,85,85
30/08/2014,0:00,26,153
31/08/2014,0:00,38,142
1/9/2014,0:00,54,172
2/9/2014,0:00,50,256
3/9/2014,0:00,54,127
4/9/2014,0:00,48,130
5/9/2014,0:00,54,116
6/9/2014,0:00,48,126
7/9/2014,0:00,34,138
8/9/2014,0:00,63,140
9/9/2014,0:00,37,125
10/9/2014,0:00,33,127
11/9/2014,0:00,51,131
12/9/2014,0:00,27,65
13/09/2014,0:00,35,129
14/09/2014,0:00,41,170
15/09/2014,0:00,53,132
16/09/2014,0:00,60,176
17/09/2014,0:00,132,124
18/09/2014,0:00,43,123
19/09/2014,0:00,195,108
20/09/2014,0:00,45,133
21/09/2014,0:00,45,83
22/09/2014,0:00,73,123
23/09/2014,0:00,53,163
24/09/2014,0:00,58,139
25/09/2014,0:00,59,174
26/09/2014,0:00,178,112
27/09/2014,0:00,54,133
28/09/2014,0:00,40,149
29/09/2014,0:00,446,144
30/09/2014,0:00,1290,267
1/10/2014,0:00,131,124
2/10/2014,0:00,93,97
3/10/2014,0:00,31,115
4/10/2014,0:00,48,119
5/10/2014,0:00,55,116
6/10/2014,0:00,48,115
7/10/2014,0:00,39,135
8/10/2014,0:00,46,106
9/10/2014,0:00,52,100
10/10/2014,0:00,56,86
11/10/2014,0:00,33,73
12/10/2014,0:00,39,103
13/10/2014,0:00,49,72
14/10/2014,0:00,42,265
15/10/2014,0:00,65,136
16/10/2014,0:00,51,101
17/10/2014,0:00,74,132
18/10/2014,0:00,88,160
19/10/2014,0:00,69,145
20/10/2014,0:00,69,129
21/10/2014,0:00,66,149
22/10/2014,0:00,69,129
23/10/2014,0:00,35,105
24/10/2014,0:00,27,133
25/10/2014,0:00,56,181
26/10/2014,0:00,26,96
27/10/2014,0:00,42,99
28/10/2014,0:00,45,100
29/10/2014,0:00,54,133
30/10/2014,0:00,45,113
31/10/2014,0:00,38,99
1/11/2014,0:00,43,71
2/11/2014,0:00,28,83
3/11/2014,0:00,28,93
4/11/2014,0:00,8,30
5/11/2014,0:00,45,54
6/11/2014,0:00,42,108
7/11/2014,0:00,26,99
8/11/2014,0:00,57,94
9/11/2014,0:00,42,96
10/11/2014,0:00,45,92
11/11/2014,0:00,16,60
12/11/2014,0:00,21,36
13/11/2014,0:00,78,57
14/11/2014,0:00,20,36
15/11/2014,0:00,33,52
16/11/2014,0:00,13,23
17/11/2014,0:00,26,46
18/11/2014,0:00,43,67
19/11/2014,0:00,40,74
20/11/2014,0:00,41,98
21/11/2014,0:00,31,70
22/11/2014,0:00,19,26
23/11/2014,0:00,41,160
24/11/2014,0:00,33,70
25/11/2014,0:00,41,69
26/11/2014,0:00,21,76
27/11/2014,0:00,18,41
28/11/2014,0:00,23,89
29/11/2014,0:00,34,95
30/11/2014,0:00,48,94
1/12/2014,0:00,16,53
2/12/2014,0:00,18,58
3/12/2014,0:00,36,71
4/12/2014,0:00,27,66
5/12/2014,0:00,24,81
6/12/2014,0:00,34,105
7/12/2014,0:00,26,58
8/12/2014,0:00,23,58
9/12/2014,0:00,19,58
10/12/2014,0:00,28,73
11/12/2014,0:00,34,74
12/12/2014,0:00,37,90
13/12/2014,0:00,32,109
14/12/2014,0:00,13,57
15/12/2014,0:00,34,67
16/12/2014,0:00,51,56
17/12/2014,0:00,14,41
18/12/2014,0:00,22,62
19/12/2014,0:00,36,40
20/12/2014,0:00,41,55
21/12/2014,0:00,13,84
22/12/2014,0:00,24,82
23/12/2014,0:00,38,38
24/12/2014,0:00,23,55
25/12/2014,0:00,22,13
26/12/2014,0:00,37,52
27/12/2014,0:00,17,32
28/12/2014,0:00,23,44
29/12/2014,0:00,29,67
30/12/2014,0:00,23,57
31/12/2014,0:00,17,35
1/1/2015,0:00,10,10
2/1/2015,0:00,28,28
3/1/2015,0:00,42,70
4/1/2015,0:00,13,28
5/1/2015,0:00,49,38
6/1/2015,0:00,32,59
7/1/2015,0:00,10,28
8/1/2015,0:00,20,36
9/1/2015,0:00,21,38
10/1/2015,0:00,51,50
11/1/2015,0:00,12,43
12/1/2015,0:00,23,49
13/01/2015,0:00,33,53
14/01/2015,0:00,22,43
15/01/2015,0:00,60,83
16/01/2015,0:00,22,71
17/01/2015,0:00,46,106
18/01/2015,0:00,26,108
19/01/2015,0:00,59,171
20/01/2015,0:00,41,105
21/01/2015,0:00,25,75
22/01/2015,0:00,13,23
23/01/2015,0:00,39,45
24/01/2015,0:00,72,107
25/01/2015,0:00,37,112
26/01/2015,0:00,42,89
27/01/2015,0:00,38,205
28/01/2015,0:00,29,114
29/01/2015,0:00,41,91
30/01/2015,0:00,49,66
31/01/2015,0:00,23,54
1/2/2015,0:00,27,43
2/2/2015,0:00,23,49
3/2/2015,0:00,40,66
4/2/2015,0:00,21,64
5/2/2015,0:00,20,47
6/2/2015,0:00,34,55
7/2/2015,0:00,43,108
8/2/2015,0:00,104,162
9/2/2015,0:00,43,110
10/2/2015,0:00,42,158
11/2/2015,0:00,53,87
12/2/2015,0:00,31,63
13/02/2015,0:00,23,74
14/02/2015,0:00,56,149
15/02/2015,0:00,34,102
16/02/2015,0:00,9,21
17/02/2015,0:00,26,60
18/02/2015,0:00,28,73
19/02/2015,0:00,39,75
20/02/2015,0:00,36,76
21/02/2015,0:00,71,168
22/02/2015,0:00,8,14
23/02/2015,0:00,27,7
24/02/2015,0:00,20,13
25/02/2015,0:00,21,29
26/02/2015,0:00,14,30
27/02/2015,0:00,13,17
28/02/2015,0:00,16,3
1/3/2015,0:00,40,11
2/3/2015,0:00,23,24
3/3/2015,0:00,31,68
4/3/2015,0:00,13,17
5/3/2015,0:00,21,29
6/3/2015,0:00,52,50
7/3/2015,0:00,34,130
8/3/2015,0:00,29,54
9/3/2015,0:00,24,30
10/3/2015,0:00,37,62
11/3/2015,0:00,44,98
12/3/2015,0:00,46,133
13/03/2015,0:00,36,52
14/03/2015,0:00,52,94
15/03/2015,0:00,50,131
16/03/2015,0:00,86,152
17/03/2015,0:00,71,96
18/03/2015,0:00,38,69
19/03/2015,0:00,30,80
20/03/2015,0:00,24,40
21/03/2015,0:00,50,61
22/03/2015,0:00,49,86
23/03/2015,0:00,68,140
24/03/2015,0:00,71,210
25/03/2015,0:00,37,104
26/03/2015,0:00,40,98
27/03/2015,0:00,41,81
28/03/2015,0:00,57,205
29/03/2015,0:00,68,160
30/03/2015,0:00,68,162
31/03/2015,0:00,86,108
1/4/2015,0:00,26,75
2/4/2015,0:00,37,115
3/4/2015,0:00,38,116
4/4/2015,0:00,63,136
5/4/2015,0:00,30,62
6/4/2015,0:00,36,132
7/4/2015,0:00,54,288
8/4/2015,0:00,44,78
9/4/2015,0:00,65,114
10/4/2015,0:00,34,108
11/4/2015,0:00,30,152
12/4/2015,0:00,39,147
13/04/2015,0:00,39,57
14/04/2015,0:00,28,93
15/04/2015,0:00,59,144
16/04/2015,0:00,59,114
17/04/2015,0:00,37,83
18/04/2015,0:00,46,137
19/04/2015,0:00,46,135
20/04/2015,0:00,60,107
21/04/2015,0:00,54,139
22/04/2015,0:00,50,79
23/04/2015,0:00,64,74
24/04/2015,0:00,26,32
25/04/2015,0:00,57,175
26/04/2015,0:00,46,166
27/04/2015,0:00,33,52
28/04/2015,0:00,42,59
29/04/2015,0:00,52,139
30/04/2015,0:00,68,137
1/5/2015,0:00,32,122
2/5/2015,0:00,55,175
3/5/2015,0:00,49,186
4/5/2015,0:00,59,124
5/5/2015,0:00,29,113
6/5/2015,0:00,50,114
7/5/2015,0:00,41,62
8/5/2015,0:00,31,62
9/5/2015,0:00,40,75
10/5/2015,0:00,24,33
11/5/2015,0:00,45,117
12/5/2015,0:00,37,115
13/05/2015,0:00,39,57
14/05/2015,0:00,53,93
15/05/2015,0:00,52,90
16/05/2015,0:00,32,120
17/05/2015,0:00,36,156
18/05/2015,0:00,87,144
19/05/2015,0:00,39,105
20/05/2015,0:00,52,78
21/05/2015,0:00,49,79
22/05/2015,0:00,27,79
23/05/2015,0:00,50,92
24/05/2015,0:00,36,72
25/05/2015,0:00,24,116
26/05/2015,0:00,41,103
27/05/2015,0:00,52,107
28/05/2015,0:00,48,130
29/05/2015,0:00,39,86
30/05/2015,0:00,49,149
31/05/2015,0:00,59,226
1/6/2015,0:00,71,142
2/6/2015,0:00,59,166
3/6/2015,0:00,58,179
4/6/2015,0:00,38,130
5/6/2015,0:00,25,108
6/6/2015,0:00,86,217
7/6/2015,0:00,43,170
8/6/2015,0:00,55,147
9/6/2015,0:00,45,118
10/6/2015,0:00,36,115
11/6/2015,0:00,63,128
12/6/2015,0:00,44,121
13/06/2015,0:00,47,155
14/06/2015,0:00,35,164
15/06/2015,0:00,49,127
16/06/2015,0:00,59,96
17/06/2015,0:00,11,36
18/06/2015,0:00,66,113
19/06/2015,0:00,54,130
20/06/2015,0:00,56,163
21/06/2015,0:00,29,96
22/06/2015,0:00,62,114
23/06/2015,0:00,41,127
24/06/2015,0:00,51,124
25/06/2015,0:00,38,146
26/06/2015,0:00,24,97
27/06/2015,0:00,72,217
28/06/2015,0:00,63,152
29/06/2015,0:00,50,123
30/06/2015,0:00,48,125
1/7/2015,0:00,49,131
2/7/2015,0:00,47,106
3/7/2015,0:00,54,135
4/7/2015,0:00,28,167
5/7/2015,0:00,27,113
6/7/2015,0:00,34,113
7/7/2015,0:00,43,156
8/7/2015,0:00,20,82
9/7/2015,0:00,45,98
10/7/2015,0:00,40,133
11/7/2015,0:00,40,196
12/7/2015,0:00,42,149
13/07/2015,0:00,33,105
14/07/2015,0:00,47,238
15/07/2015,0:00,29,120
16/07/2015,0:00,41,139
17/07/2015,0:00,58,118
18/07/2015,0:00,40,161
19/07/2015,0:00,33,155
20/07/2015,0:00,37,128
21/07/2015,0:00,37,116
22/07/2015,0:00,56,94
23/07/2015,0:00,44,136
24/07/2015,0:00,29,90
25/07/2015,0:00,50,198
26/07/2015,0:00,36,107
27/07/2015,0:00,47,114
28/07/2015,0:00,49,122
29/07/2015,0:00,35,90
30/07/2015,0:00,44,109
31/07/2015,0:00,38,104
1/8/2015,0:00,72,164
2/8/2015,0:00,51,176
3/8/2015,0:00,40,141
4/8/2015,0:00,54,153
5/8/2015,0:00,61,105
6/8/2015,0:00,39,116
7/8/2015,0:00,56,114
8/8/2015,0:00,52,141
9/8/2015,0:00,26,137
10/8/2015,0:00,31,107
11/8/2015,0:00,39,130
12/8/2015,0:00,69,103
13/08/2015,0:00,44,105
14/08/2015,0:00,34,130
15/08/2015,0:00,48,158
16/08/2015,0:00,39,148
17/08/2015,0:00,40,114
18/08/2015,0:00,66,109
19/08/2015,0:00,45,125
